"grande_area","modalidade","linha_de_fomento","total"
"Ciências Biológicas","GD - Doutorado","APOIO A PROJETOS DE PESQUISA","21269287608"
"Engenharias","DES - Desenvolvimento Tecnológico e Inovação Ext Sênior","APOIO A COOPERAÇÃO INTERNACIONAL","21013995118"
"Engenharias","GD - Doutorado","APOIO A PROJETOS DE PESQUISA","20580407773"
"Ciências Agrárias","DES - Desenvolvimento Tecnológico e Inovação Ext Sênior","APOIO A COOPERAÇÃO INTERNACIONAL","20259855707"
"Ciências Biológicas","AI - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","20048213839"
"Ciências Exatas e da Terra","GD - Doutorado","Bolsas de Doutorado","19347935718"
"Ciências Humanas","SWE - Doutorado Sanduíche no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","19148517073"
"Ciências Exatas e da Terra","PQ - Produtividade em Pesquisa","Bolsas de Produtividade em Pesquisa e Tecnologia","19088857562"
"Lingüística, Letras e Artes","APQ - Auxílio a Pesquisa","APOIO A PROJETOS DE PESQUISA","18801702951"
"Ciências Humanas","GD - Doutorado","APOIO A PROJETOS DE PESQUISA","18150120888"
"Ciências Biológicas","GD - Doutorado","Bolsas de Doutorado","18101711891"
"Ciências Agrárias","GD - Doutorado","APOIO A PROJETOS DE PESQUISA","17801456340"
"Ciências Biológicas","SWG - Graduação Sanduíche no Exterior","Bolsas de Graduação","17684134505"
"Ciências Agrárias","AI - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","17567287384"
"Ciências Sociais Aplicadas","SWE - Doutorado Sanduíche no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","17025770375"
"Ciências da Saúde","DES - Desenvolvimento Tecnológico e Inovação Ext Sênior","APOIO A COOPERAÇÃO INTERNACIONAL","16907573447"
"Engenharias","GD - Doutorado","Bolsas de Doutorado","16782581110"
"Ciências Exatas e da Terra","GDE - Doutorado no Exterior","Bolsas de Doutorado","16697272711"
"Ciências Exatas e da Terra","PQ - Produtividade em Pesquisa","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","16600077000"
"Engenharias","BCB -","APOIO A PROJETOS DE PESQUISA","15567295300"
"Ciências Biológicas","PQ - Produtividade em Pesquisa","Bolsas de Produtividade em Pesquisa e Tecnologia","15551275705"
"Ciências Exatas e da Terra","AI - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","14116881119"
"Engenharias","GDE - Doutorado no Exterior","Bolsas de Doutorado","13904197540"
"Ciências da Saúde","IC - Iniciação Científica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","13620020000"
"Ciências Agrárias","GD - Doutorado","Bolsas de Doutorado","13220631040"
"Ciências Biológicas","PQ - Produtividade em Pesquisa","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","12910752856"
"Ciências Exatas e da Terra","PDE - Pós-doutorado no Exterior","Bolsas de Pós-doutorado","12493147931"
"Ciências Humanas","BCB -","APOIO A PROJETOS DE PESQUISA","12386265900"
"Engenharias","PQ - Produtividade em Pesquisa","Bolsas de Produtividade em Pesquisa e Tecnologia","12105073432"
"Ciências Humanas","GD - Doutorado","Bolsas de Doutorado","12065078038"
"Ciências Agrárias","PQ - Produtividade em Pesquisa","Bolsas de Produtividade em Pesquisa e Tecnologia","11638771356"
"Ciências Sociais Aplicadas","DES - Desenvolvimento Tecnológico e Inovação Ext Sênior","APOIO A COOPERAÇÃO INTERNACIONAL","11404540691"
"Ciências Biológicas","PDE - Pós-doutorado no Exterior","Bolsas de Pós-doutorado","11229771298"
"Ciências Humanas","PDE - Pós-Doutorado no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","11222321457"
"Ciências Humanas","PQ - Produtividade em Pesquisa","Bolsas de Produtividade em Pesquisa e Tecnologia","11110665026"
"Ciências Exatas e da Terra","IC - Iniciação Científica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","10964070000"
"Engenharias","PQ - Produtividade em Pesquisa","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","10722803776"
"Ciências Biológicas","GDE - Doutorado no Exterior","Bolsas de Doutorado","10648676044"
"Ciências Humanas","APQ - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","9982675514"
"Ciências da Saúde","GD - Doutorado","APOIO A PROJETOS DE PESQUISA","9957979258"
"Engenharias","EXP - Extensão no País","Bolsas de Extensão em Pesquisa","9951502793"
"Ciências Humanas","PQ - Produtividade em Pesquisa","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","9799053900"
"Ciências da Saúde","PQ - Produtividade em Pesquisa","Bolsas de Produtividade em Pesquisa e Tecnologia","9736943175"
"Ciências Agrárias","PQ - Produtividade em Pesquisa","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","9721412000"
"Ciências Agrárias","IC - Iniciação Científica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","9565430000"
"Ciências Agrárias","SWG - Graduação Sanduíche no Exterior","Bolsas de Graduação","9341757695"
"Ciências Humanas","IC - Iniciação Científica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","9263280000"
"Engenharias","DTI - Desenvolvimento Tecnológico Industrial","Bolsas de Desenvolvimento Tecnológico e Industrial","9149281262"
"Ciências Biológicas","IC - Iniciação Científica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","9148760000"
"Ciências da Saúde","AI - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","8843966521"
"Engenharias","AI - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","8735236297"
"Outra","PDE - Pós-Doutorado no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","8601967429"
"Não se aplica","PCI - Programa de Capacitação Institucional","APOIO A PROJETOS DE PESQUISA","8592025000"
"Ciências da Saúde","PQ - Produtividade em Pesquisa","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","8366124633"
"Ciências Biológicas","DTI - Desenvolvimento Tecnológico Industrial","APOIO A PROJETOS DE PESQUISA","8312331200"
"Ciências Agrárias","BCB -","APOIO A PROJETOS DE PESQUISA","8242266700"
"Ciências Sociais Aplicadas","GD - Doutorado","APOIO A PROJETOS DE PESQUISA","7522115340"
"Outra","APQ - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","7466659554"
"Ciências Biológicas","DTI - Desenvolvimento Tecnológico Industrial","Bolsas de Desenvolvimento Tecnológico e Industrial","7402793213"
"Ciências Exatas e da Terra","PQ - Produtividade em Pesquisa","0.0 - Problemas Encontrar Modalidade Processo","7361669100"
"Outra","SWG - Graduação Sanduíche no Exterior","Bolsas de Graduação","7219263506"
"Engenharias","DTI - Desenvolvimento Tecnológico Industrial","APOIO A PROJETOS DE PESQUISA","7197207600"
"Ciências Exatas e da Terra","DTI - Desenvolvimento Tecnológico Industrial","Bolsas de Desenvolvimento Tecnológico e Industrial","7164651097"
"Ciências da Saúde","DTI - Desenvolvimento Tecnológico Industrial","APOIO A PROJETOS DE PESQUISA","7099611417"
"Ciências Exatas e da Terra","DTI - Desenvolvimento Tecnológico Industrial","APOIO A PROJETOS DE PESQUISA","7048835200"
"Ciências Sociais Aplicadas","PDJ - Pós-Doutorado Júnior","APOIO A PROJETOS DE PESQUISA","6874469917"
"Engenharias","PDE - Pós-Doutorado no Exterior","APOIO A PROJETOS DE PESQUISA","6846447130"
"Engenharias","PDE - Pós-doutorado no Exterior","Bolsas de Pós-doutorado","6721373660"
"Outra","ARC - Promoção de Eventos Científicos","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","6667017665"
"Ciências Exatas e da Terra","GM - Mestrado","APOIO A PROJETOS DE PESQUISA","6642600000"
"Ciências Sociais Aplicadas","DEJ - Desenvolvimento Tecnológico e Inovação Ext Junior","APOIO A COOPERAÇÃO INTERNACIONAL","6576690809"
"Ciências Biológicas","PDE - Pós-Doutorado no Exterior","APOIO A PROJETOS DE PESQUISA","6570653723"
"Engenharias","IC - Iniciação Científica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","6534000000"
"Ciências da Saúde","BCB -","APOIO A PROJETOS DE PESQUISA","6528932200"
"Ciências Exatas e da Terra","DEJ - Desenvolvimento Tecnológico e Inovação Ext Junior","APOIO A COOPERAÇÃO INTERNACIONAL","6499663328"
"Ciências Exatas e da Terra","PDE - Pós-Doutorado no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","6488852202"
"Ciências da Saúde","GD - Doutorado","Bolsas de Doutorado","6474586729"
"Ciências Exatas e da Terra","ICJ - Iniciação Científica Júnior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","6440850000"
"Ciências Humanas","GD - Doutorado","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","6219340644"
"Lingüística, Letras e Artes","DES - Desenvolvimento Tecnológico e Inovação Ext Sênior","APOIO A COOPERAÇÃO INTERNACIONAL","6097206900"
"Ciências Sociais Aplicadas","APQ - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","6090529075"
"Ciências Sociais Aplicadas","IC - Iniciação Científica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","5896370000"
"Ciências Agrárias","DTI - Desenvolvimento Tecnológico Industrial","Bolsas de Desenvolvimento Tecnológico e Industrial","5893212538"
"Ciências Exatas e da Terra","SWE - Doutorado Sanduíche no Exterior","Bolsas de Doutorado","5820695343"
"Ciências Sociais Aplicadas","PQ - Produtividade em Pesquisa","Bolsas de Produtividade em Pesquisa e Tecnologia","5727046942"
"Ciências Biológicas","PQ - Produtividade em Pesquisa","0.0 - Problemas Encontrar Modalidade Processo","5695788500"
"Ciências Sociais Aplicadas","PQ - Produtividade em Pesquisa","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","5555594000"
"Ciências Sociais Aplicadas","BCB -","APOIO A PROJETOS DE PESQUISA","5426860000"
"Ciências Biológicas","SWE - Doutorado Sanduíche no Exterior","Bolsas de Doutorado","5419657442"
"Ciências Agrárias","GDE - Doutorado no Exterior","Bolsas de Doutorado","5375786831"
"Ciências da Saúde","PDE - Pós-doutorado no Exterior","Bolsas de Pós-doutorado","5368434866"
"Ciências da Saúde","IC - Iniciação Científica","Bolsas de Iniciação Científica","5355516268"
"Engenharias","DEJ - Desenvolvimento Tecnológico e Inovação Ext Junior","APOIO A COOPERAÇÃO INTERNACIONAL","5122820640"
"Outra","PDJ - Pós-Doutorado Júnior","APOIO A PROJETOS DE PESQUISA","5103455000"
"Engenharias","SWE - Doutorado Sanduíche no Exterior","Bolsas de Doutorado","5084054045"
"Ciências Humanas","ARC - Promoção de Eventos Científicos","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","4958054235"
"Engenharias","PDE - Pós-Doutorado no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","4866628830"
"Engenharias","SWE - Doutorado Sanduíche no Exterior","APOIO A PROJETOS DE PESQUISA","4851390906"
"Ciências da Saúde","PQ - Produtividade em Pesquisa","0.0 - Problemas Encontrar Modalidade Processo","4779055600"
"Engenharias","PQ - Produtividade em Pesquisa","0.0 - Problemas Encontrar Modalidade Processo","4737161100"
"Ciências Biológicas","PDJ - Pós-doutorado Júnior","Bolsas de Pós-doutorado","4735690058"
"Ciências Agrárias","GM - Mestrado","APOIO A PROJETOS DE PESQUISA","4667520000"
"Ciências Exatas e da Terra","PDJ - Pós-doutorado Júnior","Bolsas de Pós-doutorado","4651759213"
"Ciências Exatas e da Terra","IC - Iniciação Científica","Bolsas de Iniciação Científica","4610912353"
"Ciências da Saúde","GDE - Doutorado no Exterior","Bolsas de Doutorado","4562111772"
"Ciências Agrárias","PDE - Pós-doutorado no Exterior","Bolsas de Pós-doutorado","4528550243"
"Ciências da Saúde","DTI - Desenvolvimento Tecnológico Industrial","Bolsas de Desenvolvimento Tecnológico e Industrial","4501793875"
"Lingüística, Letras e Artes","PDE - Pós-Doutorado no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","4477505102"
"Engenharias","GM - Mestrado","APOIO A PROJETOS DE PESQUISA","4455720000"
"Outra","GD - Doutorado","APOIO A PROJETOS DE PESQUISA","4388977280"
"Ciências Humanas","SWE - Doutorado Sanduíche no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","4302259724"
"Ciências Exatas e da Terra","GM - Mestrado","Bolsas de Mestrado","4254160334"
"Ciências Agrárias","PQ - Produtividade em Pesquisa","0.0 - Problemas Encontrar Modalidade Processo","4241003000"
"Ciências Humanas","PQ - Produtividade em Pesquisa","0.0 - Problemas Encontrar Modalidade Processo","4233615000"
"Ciências Biológicas","GM - Mestrado","APOIO A PROJETOS DE PESQUISA","4186440000"
"Ciências Agrárias","IC - Iniciação Científica","Bolsas de Iniciação Científica","4184681108"
"Ciências da Saúde","ARC - Promoção de Eventos Científicos","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","4129008009"
"Ciências Biológicas","PDJ - Pós-Doutorado Júnior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","4098172695"
"Ciências Humanas","IC - Iniciação Científica","Bolsas de Iniciação Científica","4034661952"
"Engenharias","ARC - Promoção de Eventos Científicos","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","4015644068"
"Engenharias","GM - Mestrado","Bolsas de Mestrado","3944293620"
"Ciências Biológicas","IC - Iniciação Científica","Bolsas de Iniciação Científica","3902798918"
"Ciências Exatas e da Terra","GD - Doutorado","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","3892884099"
"Ciências Humanas","GM - Mestrado","APOIO A PROJETOS DE PESQUISA","3892560000"
"Engenharias","SWE - Doutorado Sanduíche no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","3890679209"
"Lingüística, Letras e Artes","GD - Doutorado","Bolsas de Doutorado","3873839029"
"Outra","AI - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","3856598425"
"Ciências Sociais Aplicadas","GD - Doutorado","Bolsas de Doutorado","3815495982"
"Ciências Agrárias","GM - Mestrado","Bolsas de Mestrado","3809135849"
"Lingüística, Letras e Artes","GD - Doutorado","APOIO A PROJETOS DE PESQUISA","3808755760"
"Engenharias","SET - Fixação de Recursos Humanos","APOIO A PROJETOS DE PESQUISA","3795248900"
"Ciências Biológicas","ARC - Promoção de Eventos Científicos","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","3770075750"
"Lingüística, Letras e Artes","PQ - Produtividade em Pesquisa","Bolsas de Produtividade em Pesquisa e Tecnologia","3714587729"
"Ciências Agrárias","ARC - Promoção de Eventos Científicos","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","3694288900"
"Ciências Humanas","GM - Mestrado","Bolsas de Mestrado","3678097443"
"Ciências Sociais Aplicadas","GDE - Doutorado no Exterior","Bolsas de Doutorado","3659247447"
"Ciências Biológicas","GM - Mestrado","Bolsas de Mestrado","3656338908"
"Ciências Exatas e da Terra","SET - Fixação de Recursos Humanos","APOIO A PROJETOS DE PESQUISA","3534809400"
"Ciências Humanas","DEJ - Desenvolvimento Tecnológico e Inovação Ext Junior","APOIO A COOPERAÇÃO INTERNACIONAL","3517813800"
"Ciências Exatas e da Terra","SWE - Doutorado Sanduíche no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","3508173060"
"Ciências Agrárias","SWE - Doutorado Sanduíche no Exterior","Bolsas de Doutorado","3477975069"
"Ciências Sociais Aplicadas","SWE - Doutorado Sanduíche no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","3460456913"
"Ciências Agrárias","DTI - Desenvolvimento Tecnológico Industrial","APOIO A PROJETOS DE PESQUISA","3403858600"
"Engenharias","GD - Doutorado","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","3318711186"
"Lingüística, Letras e Artes","IC - Iniciação Científica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","3270140000"
"Tecnologias","DT - Produtividade Desen. Tec. e Extensão Inovadora","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","3253555633"
"Ciências Humanas","AI - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","3198945202"
"Lingüística, Letras e Artes","PQ - Produtividade em Pesquisa","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","3080082000"
"Outra","ICJ - Iniciação Científica Júnior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","3063190000"
"Lingüística, Letras e Artes","BCB -","APOIO A PROJETOS DE PESQUISA","2957672000"
"Outra","GDE - Doutorado no Exterior","Bolsas de Doutorado","2843960319"
"Engenharias","IC - Iniciação Científica","Bolsas de Iniciação Científica","2749163944"
"Ciências Agrárias","PDJ - Pós-Doutorado Júnior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","2721412164"
"Ciências da Saúde","SWE - Doutorado Sanduíche no Exterior","Bolsas de Doutorado","2717925461"
"Ciências Sociais Aplicadas","PDE - Pós-Doutorado no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","2715593850"
"Ciências Exatas e da Terra","ARC - Promoção de Eventos Científicos","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","2674586888"
"Ciências Exatas e da Terra","PDJ - Pós-Doutorado Júnior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","2670888409"
"Outra","DTI - Desenvolvimento Tecnológico Industrial","Bolsas de Desenvolvimento Tecnológico e Industrial","2614294390"
"Ciências Exatas e da Terra","PDE - Pós-Doutorado no Exterior","APOIO A PROJETOS DE PESQUISA","2587678707"
"Ciências Biológicas","DEJ - Desenvolvimento Tecnológico e Inovação Ext Junior","APOIO A COOPERAÇÃO INTERNACIONAL","2586568389"
"Ciências Agrárias","PDE - Pós-Doutorado no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","2586060938"
"Ciências da Saúde","PDE - Pós-Doutorado no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","2557258588"
"Engenharias","PDJ - Pós-doutorado Júnior","Bolsas de Pós-doutorado","2510945117"
"Ciências Sociais Aplicadas","PQ - Produtividade em Pesquisa","0.0 - Problemas Encontrar Modalidade Processo","2492959000"
"Ciências da Saúde","GM - Mestrado","APOIO A PROJETOS DE PESQUISA","2479200000"
"Ciências Agrárias","PDJ - Pós-doutorado Júnior","Bolsas de Pós-doutorado","2478972680"
"Ciências Sociais Aplicadas","IC - Iniciação Científica","Bolsas de Iniciação Científica","2469939542"
"Ciências Agrárias","SWE - Doutorado Sanduíche no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","2463274061"
"Ciências Humanas","PDE - Pós-doutorado no Exterior","Bolsas de Pós-doutorado","2432548919"
"Ciências Agrárias","DEJ - Desenvolvimento Tecnológico e Inovação Ext Junior","APOIO A COOPERAÇÃO INTERNACIONAL","2406172344"
"Ciências Agrárias","SET - Fixação de Recursos Humanos","APOIO A PROJETOS DE PESQUISA","2299913600"
"Tecnologias","DT - Produtividade Desen. Tec. e Extensão","Bolsas de Produtividade em Pesquisa e Tecnologia","2268594000"
"Ciências Exatas e da Terra","DTC - Desenvolvimento Tecnológico em TICs","APOIO A PROJETOS DE PESQUISA","2256217000"
"Ciências da Saúde","DEJ - Desenvolvimento Tecnológico e Inovação Ext Junior","APOIO A COOPERAÇÃO INTERNACIONAL","2179541273"
"Ciências Sociais Aplicadas","ARC - Promoção de Eventos Científicos","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","2176600812"
"Ciências Exatas e da Terra","PDJ - Pós-Doutorado Júnior","APOIO A PROJETOS DE PESQUISA","2169123727"
"Ciências Humanas","GDE - Doutorado no Exterior","Bolsas de Doutorado","2164473108"
"Ciências Biológicas","SET - Fixação de Recursos Humanos","APOIO A PROJETOS DE PESQUISA","2133127000"
"Lingüística, Letras e Artes","SWE - Doutorado Sanduíche no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","2123090489"
"Ciências Biológicas","SWE - Doutorado Sanduíche no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","2114353423"
"Ciências Sociais Aplicadas","GD - Doutorado","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","2104735783"
"Lingüística, Letras e Artes","SWE - Doutorado Sanduíche no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","2103037487"
"Engenharias","PCI - Programa de Capacitação Institucional","Bolsas de Desenvolvimento Tecnológico e Industrial","2071318390"
"Ciências Humanas","PDJ - Pós-Doutorado Júnior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","2063929480"
"Lingüística, Letras e Artes","ARC - Promoção de Eventos Científicos","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","2022035900"
"Ciências Sociais Aplicadas","GM - Mestrado","APOIO A PROJETOS DE PESQUISA","1977930000"
"Ciências Humanas","PDE - Pós-Doutorado no Exterior","APOIO A PROJETOS DE PESQUISA","1952127171"
"Ciências da Saúde","GM - Mestrado","Bolsas de Mestrado","1890120111"
"Ciências Biológicas","GD - Doutorado","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","1888900142"
"Ciências Biológicas","PDJ - Pós-Doutorado Júnior","APOIO A PROJETOS DE PESQUISA","1851128126"
"Engenharias","IT - Iniciação Tecnológica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","1848060000"
"Engenharias","PDJ - Pós-Doutorado Júnior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","1789315064"
"Outra","PDE - Pós-doutorado no Exterior","Bolsas de Pós-doutorado","1775172098"
"Ciências Sociais Aplicadas","GM - Mestrado","Bolsas de Mestrado","1722736496"
"Ciências Sociais Aplicadas","PDJ - Pós-Doutorado Júnior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","1716624712"
"Ciências Sociais Aplicadas","PDE - Pós-doutorado no Exterior","Bolsas de Pós-doutorado","1672373301"
"Ciências Humanas","SWE - Doutorado Sanduíche no Exterior","Bolsas de Doutorado","1664536442"
"Ciências Exatas e da Terra","IT - Iniciação Tecnológica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","1661570000"
"Outra","GM - Mestrado","APOIO A PROJETOS DE PESQUISA","1635930000"
"Ciências da Saúde","PDJ - Pós-Doutorado Júnior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","1634941492"
"Ciências Humanas","PDJ - Pós-Doutorado Júnior","APOIO A PROJETOS DE PESQUISA","1632495631"
"Ciências Agrárias","EXP - Extensão no País","Bolsas de Extensão em Pesquisa","1632312781"
"Ciências Humanas","PDJ - Pós-doutorado Júnior","Bolsas de Pós-doutorado","1623093337"
"Ciências Agrárias","IT - Iniciação Tecnológica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","1614710000"
"Ciências da Saúde","PDJ - Pós-doutorado Júnior","Bolsas de Pós-doutorado","1614147524"
"Outra","GD - Doutorado","Bolsas de Doutorado","1609176713"
"Tecnologias","DT - Produtividade Desen. Tec. e Extensão Inovadora","0.0 - Problemas Encontrar Modalidade Processo","1600366000"
"Ciências da Saúde","GD - Doutorado","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","1577029694"
"Ciências Exatas e da Terra","ICJ - Iniciação Científica Júnior","Bolsas de Iniciação Científica Júnior","1563716900"
"Lingüística, Letras e Artes","SWG - Graduação Sanduíche no Exterior","Bolsas de Graduação","1555340562"
"Ciências da Saúde","SWE - Doutorado Sanduíche no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","1549708095"
"Lingüística, Letras e Artes","APQ - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","1512664130"
"Lingüística, Letras e Artes","PQ - Produtividade em Pesquisa","0.0 - Problemas Encontrar Modalidade Processo","1479279200"
"Engenharias","DTC - Desenvolvimento Tecnológico em TICs","APOIO A PROJETOS DE PESQUISA","1450790000"
"Lingüística, Letras e Artes","PDJ - Pós-Doutorado Júnior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","1431398700"
"Outra","PCI - Programa de Capacitação Institucional","Bolsas de Desenvolvimento Tecnológico e Industrial","1387257000"
"Ciências Humanas","EXP - Extensão no País","Bolsas de Extensão em Pesquisa","1375996924"
"Ciências Humanas","SWE - Doutorado Sanduíche no Exterior","APOIO A PROJETOS DE PESQUISA","1365505664"
"Ciências Exatas e da Terra","PCI - Programa de Capacitação Institucional","Bolsas de Desenvolvimento Tecnológico e Industrial","1347857550"
"Lingüística, Letras e Artes","IC - Iniciação Científica","Bolsas de Iniciação Científica","1327315675"
"Lingüística, Letras e Artes","GD - Doutorado","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","1323800217"
"Ciências Sociais Aplicadas","DTI - Desenvolvimento Tecnológico Industrial","Bolsas de Desenvolvimento Tecnológico e Industrial","1321754839"
"Ciências Sociais Aplicadas","DTI - Desenvolvimento Tecnológico Industrial","APOIO A PROJETOS DE PESQUISA","1286217600"
"Ciências Agrárias","GD - Doutorado","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","1255918801"
"Ciências Biológicas","AT - Apoio Técnico a Pesquisa","Bolsas de Apoio Técnico","1220149535"
"Ciências da Saúde","PDE - Pós-Doutorado no Exterior","APOIO A PROJETOS DE PESQUISA","1215780600"
"Outra","DES - Desenvolvimento Tecnológico e Inovação Ext Sênior","APOIO A COOPERAÇÃO INTERNACIONAL","1200877614"
"Outra","PQ - Produtividade em Pesquisa","Bolsas de Produtividade em Pesquisa e Tecnologia","1200006205"
"Ciências Sociais Aplicadas","AI - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","1181615402"
"Ciências Biológicas","IT - Iniciação Tecnológica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","1170160000"
"Não informado","GD - Doutorado","APOIO A PROJETOS DE PESQUISA","1157944480"
"Ciências da Saúde","IT - Iniciação Tecnológica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","1140960000"
"Ciências Agrárias","PDS - Pós-Doutorado Sênior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","1120766600"
"Ciências Humanas","IC - Iniciação Científica","APOIO A PROJETOS DE PESQUISA","1093860000"
"Lingüística, Letras e Artes","GM - Mestrado","Bolsas de Mestrado","1088233650"
"Outra","SWE - Doutorado Sanduíche no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","1079897156"
"Ciências da Saúde","EXP - Extensão no País","Bolsas de Extensão em Pesquisa","1065640967"
"Ciências Agrárias","PDJ - Pós-Doutorado Júnior","APOIO A PROJETOS DE PESQUISA","1061462000"
"Ciências da Saúde","EXP - Extensão no País","APOIO A PROJETOS DE PESQUISA","1054495000"
"Ciências Humanas","DTI - Desenvolvimento Tecnológico Industrial","Bolsas de Desenvolvimento Tecnológico e Industrial","1044343955"
"Tecnologias","IC - Iniciação Científica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","1038040000"
"Ciências da Saúde","GM - Mestrado","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","1026776030"
"Ciências Exatas e da Terra","SET - Fixação de Recursos Humanos","Bolsas de Fixação de Doutores","1013408824"
"Engenharias","ITI - Iniciação Tecnológica Industrial","APOIO A PROJETOS DE PESQUISA","1010504900"
"Ciências Humanas","ICJ - Iniciação Científica Júnior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","1010310000"
"Ciências Sociais Aplicadas","SWE - Doutorado Sanduíche no Exterior","Bolsas de Doutorado","999379058"
"Outra","EXP - Extensão no País","Bolsas de Extensão em Pesquisa","956872920"
"Ciências Agrárias","ITI - Iniciação Tecnológica Industrial","APOIO A PROJETOS DE PESQUISA","945674400"
"Ciências Sociais Aplicadas","EXP - Extensão no País","Bolsas de Extensão em Pesquisa","944724775"
